                               Resultados computacionais pelo Método DFP
|               Ponto inicial                |# de iterações| # de cham. Armijo |              Ponto ótimo atual            |   Valor ótimo  |   Erro de aproximação |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |      18      |      35           | (-0.2253, -0.2253, -0.1782, -0.8389, 0.3304)  |    -0.9493     |   0.0045              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |      19      |      37           | (-0.2252, -0.2252, -0.1782, -0.8388, 0.3303)  |    -0.9493     |   0.0014              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |      20      |      39           | (-0.2252, -0.2252, -0.1781, -0.8388, 0.3303)  |    -0.9493     |   0.0007              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |      21      |      40           | (-0.2251, -0.2251, -0.1781, -0.8388, 0.3303)  |    -0.9493     |   0.0004              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |      22      |      42           | (-0.2251, -0.2251, -0.1781, -0.8388, 0.3303)  |    -0.9493     |   0.0003              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |      23      |      44           | (-0.2251, -0.2251, -0.1781, -0.8388, 0.3303)  |    -0.9493     |   0.0001              |

                               Resultados computacionais pelo Método DFP
|               Ponto inicial                |# de iterações| # de cham. Armijo |              Ponto ótimo atual            |   Valor ótimo  |   Erro de aproximação |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |       1      |       6           | (0.9963, 1.9915, 3.0380, 0.4561, 1.4182)  |    28.9509     |   4147.1908              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |       2      |       9           | (0.8615, 1.6775, 2.3153, -0.1257, 1.2105)  |    11.3686     |   32.3730              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |       3      |      11           | (0.4609, 0.7790, 1.6929, -0.3862, 1.2187)  |    4.0807     |   9.2345              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |       4      |      13           | (0.0797, 0.2309, 1.5478, -0.5587, 1.0944)  |    1.3851     |   5.2114              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |       5      |      15           | (-0.1811, -0.0851, 1.4121, -0.6618, 1.0579)  |    0.5392     |   2.7201              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |       6      |      16           | (-0.4064, -0.4439, 1.0694, -0.9019, 1.0097)  |    0.1397     |   1.4965              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |       7      |      17           | (-0.2444, -0.3757, 0.8301, -1.0572, 1.0079)  |    -0.4034     |   2.0331              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |       8      |      19           | (-0.2211, -0.3889, 0.6300, -1.1902, 0.9985)  |    -0.6842     |   1.5351              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |       9      |      21           | (-0.1930, -0.3678, 0.4892, -1.3068, 0.9835)  |    -0.8457     |   1.2902              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |      10      |      23           | (-0.1813, -0.3383, 0.4345, -1.3657, 0.9622)  |    -0.9002     |   0.9262              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |      11      |      24           | (-0.1787, -0.2505, 0.3606, -1.4670, 0.8914)  |    -0.9317     |   0.6879              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |      12      |      26           | (-0.1942, -0.2537, 0.3990, -1.4315, 0.9061)  |    -0.9452     |   0.4418              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |      13      |      28           | (-0.2018, -0.2492, 0.4096, -1.4226, 0.9099)  |    -0.9469     |   0.1908              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |      14      |      30           | (-0.2066, -0.2437, 0.4144, -1.4185, 0.9119)  |    -0.9476     |   0.1426              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |      15      |      31           | (-0.2175, -0.2274, 0.4216, -1.4117, 0.9167)  |    -0.9483     |   0.1183              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |      16      |      33           | (-0.2151, -0.2279, 0.4160, -1.4160, 0.9154)  |    -0.9487     |   0.0955              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |      17      |      34           | (-0.2165, -0.2269, 0.4108, -1.4195, 0.9149)  |    -0.9490     |   0.0721              |
